anime_name,duration_min,japanese_ep,english_ep
One Piece,24,1143,1133
Gachiakuta,24,10,10
Dan Da Dan Season 2,24,11,11
Kaiju No. 8 Season 2,24,9,9
Case Closed,25,1175,123
The Fragrant Flower Blooms with Dignity,24,11,3
To Be Hero X,24,24,24
The Water Magician,24,10,8
Sakamoto Days Part 2,24,11,11
Sword of the Demon Hunter: Kijin Gentosho,24,22,13
No Longer Allowed In Another World,23,12,12
My Dress-Up Darling Season 2,24,11,9
Clevatess,24,11,11
I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,24,10,8
Pokémon Horizons: The Series,24,110,89
Apocalypse Bringer Mynoghra,24,11,NA
Dr. Stone: Science Future Part 2,24,10,10
New Saga,24,11,9
The Rising of the Shield Hero Season 4,24,10,9
Scooped Up by an S-Rank Adventurer!,24,11,NA
Demon Slayer: Kimetsu no Yaiba Infinity Castle,155,1,NA
Super Dragon Ball Heroes,8,20,NA
Tougen Anki,24,10,10
"Please Put Them On, Takamine-san [UNCENSORED]",24,12,NA
Secrets of the Silent Witch,24,10,10
Witch Watch,24,23,21
Battle Through The Heavens 5th Season,24,164,52
Dealing with Mikadono Sisters Is a Breeze,24,11,8
Call of the Night Season 2,24,11,2
Welcome to the Outcast's Restaurant!,24,11,NA
Nukitashi the Animation,24,9,NA
Grand Blue Dreaming Season 2,24,11,NA
The Summer Hikaru Died,23,10,NA
"Uglymug, Epicfighter",24,11,NA
Private Tutor to the Duke's Daughter,24,11,NA
Super Dragon Ball Heroes: Big Bang Mission!!!,22,19,NA
Rascal Does Not Dream of Santa Claus,24,11,8
Beyblade X,22,96,58
Rent-a-Girlfriend Season 4,24,11,8
The Stunned Hero and the Assassin Princesses,24,11,NA
